date,cname,measure,count
2020-01-14,Norway,Cases,NA
2020-01-14,Norway,Deaths,NA
2020-01-14,Sweden,Cases,NA
2020-01-14,Sweden,Deaths,NA
2020-01-15,Denmark,Cases,NA
2020-01-15,Denmark,Deaths,NA
2020-01-15,Finland,Cases,NA
2020-01-15,Finland,Deaths,NA
2020-01-15,Iceland,Cases,NA
2020-01-15,Iceland,Deaths,NA
2020-01-15,Norway,Cases,NA
2020-01-15,Norway,Deaths,NA
2020-01-15,Sweden,Cases,NA
2020-01-15,Sweden,Deaths,NA
2020-01-16,Denmark,Cases,NA
2020-01-16,Denmark,Deaths,NA
2020-01-16,Finland,Cases,NA
2020-01-16,Finland,Deaths,NA
2020-01-16,Iceland,Cases,NA
2020-01-16,Iceland,Deaths,NA
2020-01-16,Norway,Cases,NA
2020-01-16,Norway,Deaths,NA
2020-01-16,Sweden,Cases,NA
2020-01-16,Sweden,Deaths,NA
2020-01-17,Denmark,Cases,NA
2020-01-17,Denmark,Deaths,NA
2020-01-17,Finland,Cases,NA
2020-01-17,Finland,Deaths,NA
2020-01-17,Iceland,Cases,NA
2020-01-17,Iceland,Deaths,NA
2020-01-17,Norway,Cases,NA
2020-01-17,Norway,Deaths,NA
2020-01-17,Sweden,Cases,NA
2020-01-17,Sweden,Deaths,NA
2020-01-18,Denmark,Cases,NA
2020-01-18,Denmark,Deaths,NA
2020-01-18,Finland,Cases,NA
2020-01-18,Finland,Deaths,NA
2020-01-18,Iceland,Cases,NA
2020-01-18,Iceland,Deaths,NA
2020-01-18,Norway,Cases,NA
2020-01-18,Norway,Deaths,NA
2020-01-18,Sweden,Cases,NA
2020-01-18,Sweden,Deaths,NA
2020-01-19,Denmark,Cases,NA
2020-01-19,Denmark,Deaths,NA
2020-01-19,Finland,Cases,NA
2020-01-19,Finland,Deaths,NA
2020-01-19,Iceland,Cases,NA
2020-01-19,Iceland,Deaths,NA
2020-01-19,Norway,Cases,NA
2020-01-19,Norway,Deaths,NA
2020-01-19,Sweden,Cases,NA
2020-01-19,Sweden,Deaths,NA
2020-01-20,Denmark,Cases,NA
2020-01-20,Denmark,Deaths,NA
2020-01-20,Finland,Cases,NA
2020-01-20,Finland,Deaths,NA
2020-01-20,Iceland,Cases,NA
2020-01-20,Iceland,Deaths,NA
2020-01-20,Norway,Cases,NA
2020-01-20,Norway,Deaths,NA
2020-01-20,Sweden,Cases,NA
2020-01-20,Sweden,Deaths,NA
2020-01-21,Denmark,Cases,NA
2020-01-21,Denmark,Deaths,NA
2020-01-21,Finland,Cases,NA
2020-01-21,Finland,Deaths,NA
2020-01-21,Iceland,Cases,NA
2020-01-21,Iceland,Deaths,NA
2020-01-21,Norway,Cases,NA
2020-01-21,Norway,Deaths,NA
2020-01-21,Sweden,Cases,NA
2020-01-21,Sweden,Deaths,NA
2020-01-22,Denmark,Cases,NA
2020-01-22,Denmark,Deaths,NA
2020-01-22,Finland,Cases,NA
2020-01-22,Finland,Deaths,NA
2020-01-22,Iceland,Cases,NA
2020-01-22,Iceland,Deaths,NA
2020-01-22,Norway,Cases,NA
2020-01-22,Norway,Deaths,NA
2020-01-22,Sweden,Cases,NA
2020-01-22,Sweden,Deaths,NA
2020-01-23,Denmark,Cases,NA
2020-01-23,Denmark,Deaths,NA
2020-01-23,Finland,Cases,NA
2020-01-23,Finland,Deaths,NA
2020-01-23,Iceland,Cases,NA
2020-01-23,Iceland,Deaths,NA
2020-01-23,Norway,Cases,NA
2020-01-23,Norway,Deaths,NA
2020-01-23,Sweden,Cases,NA
2020-01-23,Sweden,Deaths,NA
2020-01-24,Denmark,Cases,NA
2020-01-24,Denmark,Deaths,NA
2020-01-24,Finland,Cases,NA
2020-01-24,Finland,Deaths,NA
2020-01-24,Iceland,Cases,NA
2020-01-24,Iceland,Deaths,NA
2020-01-24,Norway,Cases,NA
2020-01-24,Norway,Deaths,NA
2020-01-24,Sweden,Cases,NA
2020-01-24,Sweden,Deaths,NA
2020-01-25,Denmark,Cases,NA
2020-01-25,Denmark,Deaths,NA
2020-01-25,Finland,Cases,NA
2020-01-25,Finland,Deaths,NA
2020-01-25,Iceland,Cases,NA
2020-01-25,Iceland,Deaths,NA
