"","iso3","cname","cu_cases","days_elapsed"
"1","NOR","Norway",1377884,1
"2","ESP","Spain",1377884,1
"3","ARG","Argentina",1377884,1
"4","AUT","Austria",1377884,1
"5","BGD","Bangladesh",1377884,1
"6","BLR","Belarus",1377884,1
"7","BEL","Belgium",1377884,1
"8","BRA","Brazil",1377884,1
"9","CAN","Canada",1377884,1
"10","CHL","Chile",1377884,1
"11","CHN","China",1377884,1
"12","COL","Colombia",1377884,1
"13","CZE","Czech Republic",1377884,1
"14","DNK","Denmark",1377884,1
"15","DOM","Dominican Republic",1377884,1
"16","ECU","Ecuador",1377884,1
"17","EGY","Egypt",1377884,1
"18","FRA","France",1377884,1
"19","DEU","Germany",1377884,1
"20","IND","India",1377884,1
"21","IDN","Indonesia",1377884,1
"22","IRN","Iran, Islamic Republic of",1377884,1
"23","IRL","Ireland",1377884,1
"24","ISR","Israel",1377884,1
"25","ITA","Italy",1377884,1
"26","JPN","Japan",1377884,1
"27","KWT","Kuwait",1377884,1
"28","MEX","Mexico",1377884,1
"29","NLD","Netherlands",1377884,1
"30","PAK","Pakistan",1377884,1
"31","PAN","Panama",1377884,1
"32","PER","Peru",1377884,1
"33","PHL","Philippines",1377884,1
"34","POL","Poland",1377884,1
"35","PRT","Portugal",1377884,1
"36","QAT","Qatar",1377884,1
"37","ROU","Romania",1377884,1
"38","RUS","Russian Federation",1377884,1
"39","SAU","Saudi Arabia",1377884,1
"40","SRB","Serbia",1377884,1
"41","SGP","Singapore",1377884,1
"42","ZAF","South Africa",1377884,1
"43","KOR","Korea, Republic of",1377884,1
"44","SWE","Sweden",1377884,1
"45","CHE","Switzerland",1377884,1
"46","TUR","Turkey",1377884,1
"47","UKR","Ukraine",1377884,1
"48","ARE","United Arab Emirates",1377884,1
"49","GBR","United Kingdom",1377884,1
"50","USA","United States",1377884,1
