"","date","cname","iso3","records.cases","records.deaths","cu_cases","cu_deaths","days_elapsed","end_label"
"81",2020-03-07,"Italy","ITA",778,49,4636,197,10,NA
"82",2020-03-07,"Korea, Republic of","KOR",483,2,6767,44,10,NA
"83",2020-03-07,"USA","USA",105,2,338,14,2,NA
"84",2020-03-08,"China","CHN",46,27,80814,3099,46,NA
"85",2020-03-08,"France","FRA",103,1,716,10,0,NA
"86",2020-03-08,"Iran, Islamic Republic of","IRN",1076,21,5823,145,12,NA
"87",2020-03-08,"Italy","ITA",1247,36,5883,233,11,NA
"88",2020-03-08,"Korea, Republic of","KOR",367,6,7134,50,11,NA
"89",2020-03-08,"USA","USA",95,3,433,17,3,NA
"90",2020-03-09,"China","CHN",45,23,80859,3122,47,NA
"91",2020-03-09,"France","FRA",410,9,1126,19,1,NA
"92",2020-03-09,"Iran, Islamic Republic of","IRN",743,49,6566,194,13,NA
"93",2020-03-09,"Italy","ITA",1492,133,7375,366,12,NA
"94",2020-03-09,"Korea, Republic of","KOR",248,1,7382,51,12,NA
"95",2020-03-09,"USA","USA",121,4,554,21,4,NA
"96",2020-03-10,"China","CHN",20,17,80879,3139,48,NA
"97",2020-03-10,"France","FRA",286,11,1412,30,2,NA
"98",2020-03-10,"Iran, Islamic Republic of","IRN",595,43,7161,237,14,NA
"99",2020-03-10,"Italy","ITA",1797,98,9172,464,13,NA
"100",2020-03-10,"Korea, Republic of","KOR",131,3,7513,54,13,NA
"101",2020-03-10,"Spain","ESP",615,23,1204,28,0,NA
"102",2020-03-10,"USA","USA",200,5,754,26,5,NA
"103",2020-03-11,"China","CHN",29,22,80908,3161,49,NA
"104",2020-03-11,"France","FRA",372,3,1784,33,3,NA
"105",2020-03-11,"Iran, Islamic Republic of","IRN",881,54,8042,291,15,NA
"106",2020-03-11,"Italy","ITA",977,167,10149,631,14,NA
"107",2020-03-11,"Japan","JPN",54,3,568,12,0,NA
"108",2020-03-11,"Korea, Republic of","KOR",242,6,7755,60,14,NA
"109",2020-03-11,"Spain","ESP",435,7,1639,35,1,NA
"110",2020-03-11,"USA","USA",271,2,1025,28,6,NA
"111",2020-03-12,"China","CHN",24,11,80932,3172,50,NA
"112",2020-03-12,"France","FRA",497,15,2281,48,4,NA
"113",2020-03-12,"Iran, Islamic Republic of","IRN",958,63,9000,354,16,NA
"114",2020-03-12,"Italy","ITA",2313,196,12462,827,15,NA
"115",2020-03-12,"Japan","JPN",51,3,619,15,1,NA
"116",2020-03-12,"Korea, Republic of","KOR",114,6,7869,66,15,NA
"117",2020-03-12,"Spain","ESP",501,12,2140,47,2,NA
"118",2020-03-12,"USA","USA",287,2,1312,30,7,NA
"119",2020-03-13,"China","CHN",22,7,80954,3179,51,NA
"120",2020-03-13,"France","FRA",595,13,2876,61,5,NA
"121",2020-03-13,"Iran, Islamic Republic of","IRN",1075,75,10075,429,17,NA
"122",2020-03-13,"Italy","ITA",2651,189,15113,1016,16,NA
"123",2020-03-13,"Japan","JPN",56,4,675,19,2,NA
"124",2020-03-13,"Korea, Republic of","KOR",110,1,7979,67,16,NA
"125",2020-03-13,"Spain","ESP",864,37,3004,84,3,NA
"126",2020-03-13,"United Kingdom","GBR",134,4,590,10,0,NA
"127",2020-03-13,"USA","USA",351,10,1663,40,8,NA
"128",2020-03-14,"China","CHN",19,15,80973,3194,52,NA
"129",2020-03-14,"France","FRA",785,18,3661,79,6,NA
"130",2020-03-14,"Iran, Islamic Republic of","IRN",1289,85,11364,514,18,NA
"131",2020-03-14,"Italy","ITA",2547,252,17660,1268,17,NA
"132",2020-03-14,"Japan","JPN",62,2,737,21,3,NA
"133",2020-03-14,"Korea, Republic of","KOR",107,5,8086,72,17,NA
"134",2020-03-14,"Spain","ESP",1227,37,4231,121,4,NA
"135",2020-03-14,"United Kingdom","GBR",117,0,707,10,1,NA
"136",2020-03-14,"USA","USA",511,7,2174,47,9,NA
"137",2020-03-15,"China","CHN",22,9,80995,3203,53,NA
"138",2020-03-15,"France","FRA",838,12,4499,91,7,NA
"139",2020-03-15,"Iran, Islamic Republic of","IRN",1365,97,12729,611,19,NA
"140",2020-03-15,"Italy","ITA",3497,173,21157,1441,18,NA
"141",2020-03-15,"Japan","JPN",43,1,780,22,4,NA
"142",2020-03-15,"Netherlands","NLD",155,7,959,12,0,NA
"143",2020-03-15,"Korea, Republic of","KOR",76,3,8162,75,18,NA
"144",2020-03-15,"Spain","ESP",1522,15,5753,136,5,NA
"145",2020-03-15,"Switzerland","CHE",238,4,1359,11,0,NA
"146",2020-03-15,"United Kingdom","GBR",433,11,1140,21,2,NA
"147",2020-03-15,"USA","USA",777,10,2951,57,10,NA
"148",2020-03-16,"China","CHN",25,13,81020,3216,54,NA
"149",2020-03-16,"France","FRA",924,36,5423,127,8,NA
