records.dateRep,records.day,records.month,records.year,records.cases,records.deaths,records.countriesAndTerritories,records.geoId,records.countryterritoryCode,records.popData2018,date,iso2,iso3,cname
16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-16,AF,AFG,Afghanistan
15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-15,AF,AFG,Afghanistan
14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-14,AF,AFG,Afghanistan
13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-13,AF,AFG,Afghanistan
12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-12,AF,AFG,Afghanistan
11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-11,AF,AFG,Afghanistan
10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-10,AF,AFG,Afghanistan
09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-09,AF,AFG,Afghanistan
08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-08,AF,AFG,Afghanistan
07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-07,AF,AFG,Afghanistan
06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-06,AF,AFG,Afghanistan
05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-05,AF,AFG,Afghanistan
04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-04,AF,AFG,Afghanistan
03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-03,AF,AFG,Afghanistan
02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-02,AF,AFG,Afghanistan
01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-01,AF,AFG,Afghanistan
31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-31,AF,AFG,Afghanistan
30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-30,AF,AFG,Afghanistan
29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-29,AF,AFG,Afghanistan
28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-28,AF,AFG,Afghanistan
27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-27,AF,AFG,Afghanistan
26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-26,AF,AFG,Afghanistan
25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-25,AF,AFG,Afghanistan
24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-24,AF,AFG,Afghanistan
23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-23,AF,AFG,Afghanistan
22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-22,AF,AFG,Afghanistan
21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-21,AF,AFG,Afghanistan
20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-20,AF,AFG,Afghanistan
19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-19,AF,AFG,Afghanistan
18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-18,AF,AFG,Afghanistan
17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-17,AF,AFG,Afghanistan
16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-16,AF,AFG,Afghanistan
15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-15,AF,AFG,Afghanistan
14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-14,AF,AFG,Afghanistan
13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-13,AF,AFG,Afghanistan
12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-12,AF,AFG,Afghanistan
11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-11,AF,AFG,Afghanistan
10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-10,AF,AFG,Afghanistan
09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-09,AF,AFG,Afghanistan
08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-08,AF,AFG,Afghanistan
07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-07,AF,AFG,Afghanistan
06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-06,AF,AFG,Afghanistan
05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-05,AF,AFG,Afghanistan
04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-04,AF,AFG,Afghanistan
03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-03,AF,AFG,Afghanistan
02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-02,AF,AFG,Afghanistan
01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-01,AF,AFG,Afghanistan
31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386,2019-12-31,AF,AFG,Afghanistan
13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2866376,2020-04-13,AL,ALB,Albania
12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2866376,2020-04-12,AL,ALB,Albania
11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2866376,2020-04-11,AL,ALB,Albania
10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2866376,2020-04-10,AL,ALB,Albania
09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2866376,2020-04-09,AL,ALB,Albania
08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2866376,2020-04-08,AL,ALB,Albania
07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2866376,2020-04-07,AL,ALB,Albania
06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2866376,2020-04-06,AL,ALB,Albania
05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2866376,2020-04-05,AL,ALB,Albania
04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2866376,2020-04-04,AL,ALB,Albania
03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2866376,2020-04-03,AL,ALB,Albania
02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2866376,2020-04-02,AL,ALB,Albania
01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2866376,2020-04-01,AL,ALB,Albania
31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2866376,2020-03-31,AL,ALB,Albania
30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2866376,2020-03-30,AL,ALB,Albania
29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2866376,2020-03-29,AL,ALB,Albania
28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2866376,2020-03-28,AL,ALB,Albania
27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2866376,2020-03-27,AL,ALB,Albania
26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2866376,2020-03-26,AL,ALB,Albania
25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2866376,2020-03-25,AL,ALB,Albania
24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2866376,2020-03-24,AL,ALB,Albania
23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2866376,2020-03-23,AL,ALB,Albania
22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2866376,2020-03-22,AL,ALB,Albania
21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2866376,2020-03-21,AL,ALB,Albania
20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2866376,2020-03-20,AL,ALB,Albania
19/03/2020,19,3,2020,4,1,Albania,AL,ALB,2866376,2020-03-19,AL,ALB,Albania
18/03/2020,18,3,2020,4,0,Albania,AL,ALB,2866376,2020-03-18,AL,ALB,Albania
17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2866376,2020-03-17,AL,ALB,Albania
