date,cname,measure,count
2019-12-31,Belgium,Cases,NA
2019-12-31,Belgium,Deaths,NA
2019-12-31,France,Cases,NA
2019-12-31,France,Deaths,NA
2019-12-31,Germany,Cases,NA
2019-12-31,Germany,Deaths,NA
2019-12-31,Italy,Cases,NA
2019-12-31,Italy,Deaths,NA
2019-12-31,Sweden,Cases,NA
2019-12-31,Sweden,Deaths,NA
2019-12-31,United States,Cases,NA
2019-12-31,United States,Deaths,NA
2020-01-01,Belgium,Cases,NA
2020-01-01,Belgium,Deaths,NA
2020-01-01,France,Cases,NA
2020-01-01,France,Deaths,NA
2020-01-01,Germany,Cases,NA
2020-01-01,Germany,Deaths,NA
2020-01-01,Italy,Cases,NA
2020-01-01,Italy,Deaths,NA
2020-01-01,Sweden,Cases,NA
2020-01-01,Sweden,Deaths,NA
2020-01-01,United States,Cases,NA
2020-01-01,United States,Deaths,NA
2020-01-02,Belgium,Cases,NA
2020-01-02,Belgium,Deaths,NA
2020-01-02,France,Cases,NA
2020-01-02,France,Deaths,NA
2020-01-02,Germany,Cases,NA
2020-01-02,Germany,Deaths,NA
2020-01-02,Italy,Cases,NA
2020-01-02,Italy,Deaths,NA
2020-01-02,Sweden,Cases,NA
2020-01-02,Sweden,Deaths,NA
2020-01-02,United States,Cases,NA
2020-01-02,United States,Deaths,NA
2020-01-03,Belgium,Cases,NA
2020-01-03,Belgium,Deaths,NA
2020-01-03,France,Cases,NA
2020-01-03,France,Deaths,NA
2020-01-03,Germany,Cases,NA
2020-01-03,Germany,Deaths,NA
2020-01-03,Italy,Cases,NA
2020-01-03,Italy,Deaths,NA
2020-01-03,Sweden,Cases,NA
2020-01-03,Sweden,Deaths,NA
2020-01-03,United States,Cases,NA
2020-01-03,United States,Deaths,NA
2020-01-04,Belgium,Cases,NA
2020-01-04,Belgium,Deaths,NA
2020-01-04,France,Cases,NA
2020-01-04,France,Deaths,NA
2020-01-04,Germany,Cases,NA
2020-01-04,Germany,Deaths,NA
2020-01-04,Italy,Cases,NA
2020-01-04,Italy,Deaths,NA
2020-01-04,Sweden,Cases,NA
2020-01-04,Sweden,Deaths,NA
2020-01-04,United States,Cases,NA
2020-01-04,United States,Deaths,NA
2020-01-05,Belgium,Cases,NA
2020-01-05,Belgium,Deaths,NA
2020-01-05,France,Cases,NA
2020-01-05,France,Deaths,NA
2020-01-05,Germany,Cases,NA
2020-01-05,Germany,Deaths,NA
2020-01-05,Italy,Cases,NA
2020-01-05,Italy,Deaths,NA
2020-01-05,Sweden,Cases,NA
2020-01-05,Sweden,Deaths,NA
2020-01-05,United States,Cases,NA
2020-01-05,United States,Deaths,NA
2020-01-06,Belgium,Cases,NA
2020-01-06,Belgium,Deaths,NA
2020-01-06,France,Cases,NA
2020-01-06,France,Deaths,NA
2020-01-06,Germany,Cases,NA
2020-01-06,Germany,Deaths,NA
2020-01-06,Italy,Cases,NA
2020-01-06,Italy,Deaths,NA
2020-01-06,Sweden,Cases,NA
2020-01-06,Sweden,Deaths,NA
2020-01-06,United States,Cases,NA
2020-01-06,United States,Deaths,NA
2020-01-07,Belgium,Cases,NA
2020-01-07,Belgium,Deaths,NA
2020-01-07,France,Cases,NA
2020-01-07,France,Deaths,NA
2020-01-07,Germany,Cases,NA
2020-01-07,Germany,Deaths,NA
2020-01-07,Italy,Cases,NA
2020-01-07,Italy,Deaths,NA
2020-01-07,Sweden,Cases,NA
2020-01-07,Sweden,Deaths,NA
2020-01-07,United States,Cases,NA
2020-01-07,United States,Deaths,NA
2020-01-08,Belgium,Cases,NA
2020-01-08,Belgium,Deaths,NA
2020-01-08,France,Cases,NA
2020-01-08,France,Deaths,NA
2020-01-08,Germany,Cases,NA
2020-01-08,Germany,Deaths,NA
2020-01-08,Italy,Cases,NA
2020-01-08,Italy,Deaths,NA
2020-01-08,Sweden,Cases,NA
2020-01-08,Sweden,Deaths,NA
2020-01-08,United States,Cases,NA
2020-01-08,United States,Deaths,NA
2020-01-09,Belgium,Cases,NA
2020-01-09,Belgium,Deaths,NA
2020-01-09,France,Cases,NA
2020-01-09,France,Deaths,NA
2020-01-09,Germany,Cases,NA
2020-01-09,Germany,Deaths,NA
2020-01-09,Italy,Cases,NA
2020-01-09,Italy,Deaths,NA
2020-01-09,Sweden,Cases,NA
2020-01-09,Sweden,Deaths,NA
2020-01-09,United States,Cases,NA
2020-01-09,United States,Deaths,NA
2020-01-10,Belgium,Cases,NA
2020-01-10,Belgium,Deaths,NA
2020-01-10,France,Cases,NA
2020-01-10,France,Deaths,NA
2020-01-10,Germany,Cases,NA
