date,cname,measure,count
2020-01-10,Germany,Deaths,NA
2020-01-10,Italy,Cases,NA
2020-01-10,Italy,Deaths,NA
2020-01-10,Sweden,Cases,NA
2020-01-10,Sweden,Deaths,NA
2020-01-10,United States,Cases,NA
2020-01-10,United States,Deaths,NA
2020-01-11,Belgium,Cases,NA
2020-01-11,Belgium,Deaths,NA
2020-01-11,France,Cases,NA
2020-01-11,France,Deaths,NA
2020-01-11,Germany,Cases,NA
2020-01-11,Germany,Deaths,NA
2020-01-11,Italy,Cases,NA
2020-01-11,Italy,Deaths,NA
2020-01-11,Sweden,Cases,NA
2020-01-11,Sweden,Deaths,NA
2020-01-11,United States,Cases,NA
2020-01-11,United States,Deaths,NA
2020-01-12,Belgium,Cases,NA
2020-01-12,Belgium,Deaths,NA
2020-01-12,France,Cases,NA
2020-01-12,France,Deaths,NA
2020-01-12,Germany,Cases,NA
2020-01-12,Germany,Deaths,NA
2020-01-12,Italy,Cases,NA
2020-01-12,Italy,Deaths,NA
2020-01-12,Sweden,Cases,NA
2020-01-12,Sweden,Deaths,NA
2020-01-12,United States,Cases,NA
2020-01-12,United States,Deaths,NA
2020-01-13,Belgium,Cases,NA
2020-01-13,Belgium,Deaths,NA
2020-01-13,France,Cases,NA
2020-01-13,France,Deaths,NA
2020-01-13,Germany,Cases,NA
2020-01-13,Germany,Deaths,NA
2020-01-13,Italy,Cases,NA
2020-01-13,Italy,Deaths,NA
2020-01-13,Sweden,Cases,NA
2020-01-13,Sweden,Deaths,NA
2020-01-13,United States,Cases,NA
2020-01-13,United States,Deaths,NA
2020-01-14,Belgium,Cases,NA
2020-01-14,Belgium,Deaths,NA
2020-01-14,France,Cases,NA
2020-01-14,France,Deaths,NA
2020-01-14,Germany,Cases,NA
2020-01-14,Germany,Deaths,NA
2020-01-14,Italy,Cases,NA
2020-01-14,Italy,Deaths,NA
2020-01-14,Sweden,Cases,NA
2020-01-14,Sweden,Deaths,NA
2020-01-14,United States,Cases,NA
2020-01-14,United States,Deaths,NA
2020-01-15,Belgium,Cases,NA
2020-01-15,Belgium,Deaths,NA
2020-01-15,France,Cases,NA
2020-01-15,France,Deaths,NA
2020-01-15,Germany,Cases,NA
2020-01-15,Germany,Deaths,NA
2020-01-15,Italy,Cases,NA
2020-01-15,Italy,Deaths,NA
2020-01-15,Sweden,Cases,NA
2020-01-15,Sweden,Deaths,NA
2020-01-15,United States,Cases,NA
2020-01-15,United States,Deaths,NA
2020-01-16,Belgium,Cases,NA
2020-01-16,Belgium,Deaths,NA
2020-01-16,France,Cases,NA
2020-01-16,France,Deaths,NA
2020-01-16,Germany,Cases,NA
2020-01-16,Germany,Deaths,NA
2020-01-16,Italy,Cases,NA
2020-01-16,Italy,Deaths,NA
2020-01-16,Sweden,Cases,NA
2020-01-16,Sweden,Deaths,NA
2020-01-16,United States,Cases,NA
2020-01-16,United States,Deaths,NA
2020-01-17,Belgium,Cases,NA
2020-01-17,Belgium,Deaths,NA
2020-01-17,France,Cases,NA
2020-01-17,France,Deaths,NA
2020-01-17,Germany,Cases,NA
2020-01-17,Germany,Deaths,NA
2020-01-17,Italy,Cases,NA
2020-01-17,Italy,Deaths,NA
2020-01-17,Sweden,Cases,NA
2020-01-17,Sweden,Deaths,NA
2020-01-17,United States,Cases,NA
2020-01-17,United States,Deaths,NA
2020-01-18,Belgium,Cases,NA
2020-01-18,Belgium,Deaths,NA
2020-01-18,France,Cases,NA
2020-01-18,France,Deaths,NA
2020-01-18,Germany,Cases,NA
2020-01-18,Germany,Deaths,NA
2020-01-18,Italy,Cases,NA
2020-01-18,Italy,Deaths,NA
2020-01-18,Sweden,Cases,NA
2020-01-18,Sweden,Deaths,NA
2020-01-18,United States,Cases,NA
2020-01-18,United States,Deaths,NA
2020-01-19,Belgium,Cases,NA
2020-01-19,Belgium,Deaths,NA
2020-01-19,France,Cases,NA
2020-01-19,France,Deaths,NA
2020-01-19,Germany,Cases,NA
2020-01-19,Germany,Deaths,NA
2020-01-19,Italy,Cases,NA
2020-01-19,Italy,Deaths,NA
2020-01-19,Sweden,Cases,NA
2020-01-19,Sweden,Deaths,NA
2020-01-19,United States,Cases,NA
2020-01-19,United States,Deaths,NA
2020-01-20,Belgium,Cases,NA
2020-01-20,Belgium,Deaths,NA
2020-01-20,France,Cases,NA
2020-01-20,France,Deaths,NA
2020-01-20,Germany,Cases,NA
2020-01-20,Germany,Deaths,NA
2020-01-20,Italy,Cases,NA
2020-01-20,Italy,Deaths,NA
2020-01-20,Sweden,Cases,NA
2020-01-20,Sweden,Deaths,NA
2020-01-20,United States,Cases,NA
2020-01-20,United States,Deaths,NA
2020-01-21,Belgium,Cases,NA
2020-01-21,Belgium,Deaths,NA
2020-01-21,France,Cases,NA
2020-01-21,France,Deaths,NA
2020-01-21,Germany,Cases,NA
2020-01-21,Germany,Deaths,NA
2020-01-21,Italy,Cases,NA
2020-01-21,Italy,Deaths,NA
2020-01-21,Sweden,Cases,NA
2020-01-21,Sweden,Deaths,NA
2020-01-21,United States,Cases,1
2020-01-21,United States,Deaths,NA
2020-01-22,Belgium,Cases,NA
2020-01-22,Belgium,Deaths,NA
2020-01-22,France,Cases,NA
2020-01-22,France,Deaths,NA
2020-01-22,Germany,Cases,NA
2020-01-22,Germany,Deaths,NA
2020-01-22,Italy,Cases,NA
2020-01-22,Italy,Deaths,NA
2020-01-22,Sweden,Cases,NA
2020-01-22,Sweden,Deaths,NA
2020-01-22,United States,Cases,1
2020-01-22,United States,Deaths,NA
2020-01-23,Belgium,Cases,NA
2020-01-23,Belgium,Deaths,NA
2020-01-23,France,Cases,NA
2020-01-23,France,Deaths,NA
2020-01-23,Germany,Cases,NA
2020-01-23,Germany,Deaths,NA
2020-01-23,Italy,Cases,NA
2020-01-23,Italy,Deaths,NA
2020-01-23,Sweden,Cases,NA
2020-01-23,Sweden,Deaths,NA
2020-01-23,United States,Cases,1
2020-01-23,United States,Deaths,NA
2020-01-24,Belgium,Cases,NA
2020-01-24,Belgium,Deaths,NA
2020-01-24,France,Cases,NA
2020-01-24,France,Deaths,NA
2020-01-24,Germany,Cases,NA
2020-01-24,Germany,Deaths,NA
2020-01-24,Italy,Cases,NA
2020-01-24,Italy,Deaths,NA
2020-01-24,Sweden,Cases,NA
2020-01-24,Sweden,Deaths,NA
2020-01-24,United States,Cases,1
2020-01-24,United States,Deaths,NA
2020-01-25,Belgium,Cases,NA
2020-01-25,Belgium,Deaths,NA
2020-01-25,France,Cases,3
2020-01-25,France,Deaths,NA
2020-01-25,Germany,Cases,NA
2020-01-25,Germany,Deaths,NA
2020-01-25,Italy,Cases,NA
2020-01-25,Italy,Deaths,NA
2020-01-25,Sweden,Cases,NA
2020-01-25,Sweden,Deaths,NA
2020-01-25,United States,Cases,2
2020-01-25,United States,Deaths,NA
2020-01-26,Belgium,Cases,NA
2020-01-26,Belgium,Deaths,NA
2020-01-26,France,Cases,3
2020-01-26,France,Deaths,NA
2020-01-26,Germany,Cases,NA
2020-01-26,Germany,Deaths,NA
2020-01-26,Italy,Cases,NA
2020-01-26,Italy,Deaths,NA
2020-01-26,Sweden,Cases,NA
2020-01-26,Sweden,Deaths,NA
2020-01-26,United States,Cases,2
2020-01-26,United States,Deaths,NA
2020-01-27,Belgium,Cases,NA
2020-01-27,Belgium,Deaths,NA
2020-01-27,France,Cases,3
2020-01-27,France,Deaths,NA
2020-01-27,Germany,Cases,NA
2020-01-27,Germany,Deaths,NA
2020-01-27,Italy,Cases,NA
2020-01-27,Italy,Deaths,NA
2020-01-27,Sweden,Cases,NA
2020-01-27,Sweden,Deaths,NA
2020-01-27,United States,Cases,5
2020-01-27,United States,Deaths,NA
2020-01-28,Belgium,Cases,NA
2020-01-28,Belgium,Deaths,NA
2020-01-28,France,Cases,3
2020-01-28,France,Deaths,NA
2020-01-28,Germany,Cases,1
2020-01-28,Germany,Deaths,NA
2020-01-28,Italy,Cases,NA
2020-01-28,Italy,Deaths,NA
2020-01-28,Sweden,Cases,NA
2020-01-28,Sweden,Deaths,NA
2020-01-28,United States,Cases,5
2020-01-28,United States,Deaths,NA
2020-01-29,Belgium,Cases,NA
2020-01-29,Belgium,Deaths,NA
2020-01-29,France,Cases,4
2020-01-29,France,Deaths,NA
2020-01-29,Germany,Cases,4
2020-01-29,Germany,Deaths,NA
2020-01-29,Italy,Cases,NA
2020-01-29,Italy,Deaths,NA
2020-01-29,Sweden,Cases,NA
2020-01-29,Sweden,Deaths,NA
2020-01-29,United States,Cases,5
2020-01-29,United States,Deaths,NA
2020-01-30,Belgium,Cases,NA
2020-01-30,Belgium,Deaths,NA
2020-01-30,France,Cases,5
2020-01-30,France,Deaths,NA
2020-01-30,Germany,Cases,4
2020-01-30,Germany,Deaths,NA
2020-01-30,Italy,Cases,NA
2020-01-30,Italy,Deaths,NA
2020-01-30,Sweden,Cases,NA
2020-01-30,Sweden,Deaths,NA
2020-01-30,United States,Cases,5
2020-01-30,United States,Deaths,NA
2020-01-31,Belgium,Cases,NA
2020-01-31,Belgium,Deaths,NA
2020-01-31,France,Cases,6
2020-01-31,France,Deaths,NA
2020-01-31,Germany,Cases,5
2020-01-31,Germany,Deaths,NA
2020-01-31,Italy,Cases,3
2020-01-31,Italy,Deaths,NA
2020-01-31,Sweden,Cases,NA
2020-01-31,Sweden,Deaths,NA
2020-01-31,United States,Cases,6
2020-01-31,United States,Deaths,NA
2020-02-01,Belgium,Cases,NA
2020-02-01,Belgium,Deaths,NA
2020-02-01,France,Cases,6
2020-02-01,France,Deaths,NA
2020-02-01,Germany,Cases,7
2020-02-01,Germany,Deaths,NA
2020-02-01,Italy,Cases,3
2020-02-01,Italy,Deaths,NA
2020-02-01,Sweden,Cases,1
2020-02-01,Sweden,Deaths,NA
2020-02-01,United States,Cases,7
2020-02-01,United States,Deaths,NA
2020-02-02,Belgium,Cases,NA
2020-02-02,Belgium,Deaths,NA
2020-02-02,France,Cases,6
2020-02-02,France,Deaths,NA
2020-02-02,Germany,Cases,8
2020-02-02,Germany,Deaths,NA
2020-02-02,Italy,Cases,3
2020-02-02,Italy,Deaths,NA
2020-02-02,Sweden,Cases,1
2020-02-02,Sweden,Deaths,NA
2020-02-02,United States,Cases,8
2020-02-02,United States,Deaths,NA
2020-02-03,Belgium,Cases,NA
2020-02-03,Belgium,Deaths,NA
2020-02-03,France,Cases,6
2020-02-03,France,Deaths,NA
2020-02-03,Germany,Cases,9
2020-02-03,Germany,Deaths,NA
2020-02-03,Italy,Cases,3
2020-02-03,Italy,Deaths,NA
2020-02-03,Sweden,Cases,1
2020-02-03,Sweden,Deaths,NA
2020-02-03,United States,Cases,11
2020-02-03,United States,Deaths,NA
2020-02-04,Belgium,Cases,1
2020-02-04,Belgium,Deaths,NA
2020-02-04,France,Cases,6
2020-02-04,France,Deaths,NA
2020-02-04,Germany,Cases,11
2020-02-04,Germany,Deaths,NA
2020-02-04,Italy,Cases,3
2020-02-04,Italy,Deaths,NA
2020-02-04,Sweden,Cases,1
2020-02-04,Sweden,Deaths,NA
2020-02-04,United States,Cases,11
2020-02-04,United States,Deaths,NA
2020-02-05,Belgium,Cases,1
2020-02-05,Belgium,Deaths,NA
2020-02-05,France,Cases,6
2020-02-05,France,Deaths,NA
2020-02-05,Germany,Cases,11
2020-02-05,Germany,Deaths,NA
2020-02-05,Italy,Cases,3
2020-02-05,Italy,Deaths,NA
2020-02-05,Sweden,Cases,1
2020-02-05,Sweden,Deaths,NA
2020-02-05,United States,Cases,11
2020-02-05,United States,Deaths,NA
2020-02-06,Belgium,Cases,1
2020-02-06,Belgium,Deaths,NA
2020-02-06,France,Cases,6
2020-02-06,France,Deaths,NA
2020-02-06,Germany,Cases,11
2020-02-06,Germany,Deaths,NA
2020-02-06,Italy,Cases,3
2020-02-06,Italy,Deaths,NA
2020-02-06,Sweden,Cases,1
2020-02-06,Sweden,Deaths,NA
2020-02-06,United States,Cases,12
2020-02-06,United States,Deaths,NA
2020-02-07,Belgium,Cases,1
2020-02-07,Belgium,Deaths,NA
2020-02-07,France,Cases,6
2020-02-07,France,Deaths,NA
2020-02-07,Germany,Cases,12
2020-02-07,Germany,Deaths,NA
2020-02-07,Italy,Cases,3
2020-02-07,Italy,Deaths,NA
2020-02-07,Sweden,Cases,1
2020-02-07,Sweden,Deaths,NA
2020-02-07,United States,Cases,12
2020-02-07,United States,Deaths,NA
2020-02-08,Belgium,Cases,1
2020-02-08,Belgium,Deaths,NA
2020-02-08,France,Cases,11
2020-02-08,France,Deaths,NA
2020-02-08,Germany,Cases,13
2020-02-08,Germany,Deaths,NA
2020-02-08,Italy,Cases,3
2020-02-08,Italy,Deaths,NA
2020-02-08,Sweden,Cases,1
2020-02-08,Sweden,Deaths,NA
2020-02-08,United States,Cases,12
2020-02-08,United States,Deaths,NA
2020-02-09,Belgium,Cases,1
2020-02-09,Belgium,Deaths,NA
2020-02-09,France,Cases,11
2020-02-09,France,Deaths,NA
2020-02-09,Germany,Cases,13
2020-02-09,Germany,Deaths,NA
2020-02-09,Italy,Cases,3
2020-02-09,Italy,Deaths,NA
2020-02-09,Sweden,Cases,1
2020-02-09,Sweden,Deaths,NA
2020-02-09,United States,Cases,12
2020-02-09,United States,Deaths,NA
2020-02-10,Belgium,Cases,1
2020-02-10,Belgium,Deaths,NA
2020-02-10,France,Cases,11
2020-02-10,France,Deaths,NA
2020-02-10,Germany,Cases,13
2020-02-10,Germany,Deaths,NA
2020-02-10,Italy,Cases,3
2020-02-10,Italy,Deaths,NA
2020-02-10,Sweden,Cases,1
2020-02-10,Sweden,Deaths,NA
2020-02-10,United States,Cases,12
2020-02-10,United States,Deaths,NA
2020-02-11,Belgium,Cases,1
2020-02-11,Belgium,Deaths,NA
2020-02-11,France,Cases,11
2020-02-11,France,Deaths,NA
2020-02-11,Germany,Cases,13
2020-02-11,Germany,Deaths,NA
2020-02-11,Italy,Cases,3
2020-02-11,Italy,Deaths,NA
2020-02-11,Sweden,Cases,1
2020-02-11,Sweden,Deaths,NA
2020-02-11,United States,Cases,13
2020-02-11,United States,Deaths,NA
2020-02-12,Belgium,Cases,1
2020-02-12,Belgium,Deaths,NA
2020-02-12,France,Cases,11
2020-02-12,France,Deaths,NA
2020-02-12,Germany,Cases,15
2020-02-12,Germany,Deaths,NA
2020-02-12,Italy,Cases,3
2020-02-12,Italy,Deaths,NA
2020-02-12,Sweden,Cases,1
2020-02-12,Sweden,Deaths,NA
2020-02-12,United States,Cases,13
2020-02-12,United States,Deaths,NA
2020-02-13,Belgium,Cases,1
2020-02-13,Belgium,Deaths,NA
2020-02-13,France,Cases,11
2020-02-13,France,Deaths,NA
2020-02-13,Germany,Cases,15
2020-02-13,Germany,Deaths,NA
2020-02-13,Italy,Cases,3
2020-02-13,Italy,Deaths,NA
2020-02-13,Sweden,Cases,1
2020-02-13,Sweden,Deaths,NA
2020-02-13,United States,Cases,14
2020-02-13,United States,Deaths,NA
2020-02-14,Belgium,Cases,1
2020-02-14,Belgium,Deaths,NA
2020-02-14,France,Cases,11
2020-02-14,France,Deaths,NA
2020-02-14,Germany,Cases,15
2020-02-14,Germany,Deaths,NA
2020-02-14,Italy,Cases,3
2020-02-14,Italy,Deaths,NA
2020-02-14,Sweden,Cases,1
2020-02-14,Sweden,Deaths,NA
2020-02-14,United States,Cases,15
2020-02-14,United States,Deaths,NA
2020-02-15,Belgium,Cases,1
2020-02-15,Belgium,Deaths,NA
2020-02-15,France,Cases,11
2020-02-15,France,Deaths,1
2020-02-15,Germany,Cases,15
2020-02-15,Germany,Deaths,NA
2020-02-15,Italy,Cases,3
2020-02-15,Italy,Deaths,NA
2020-02-15,Sweden,Cases,1
2020-02-15,Sweden,Deaths,NA
2020-02-15,United States,Cases,15
2020-02-15,United States,Deaths,NA
2020-02-16,Belgium,Cases,1
2020-02-16,Belgium,Deaths,NA
2020-02-16,France,Cases,11
2020-02-16,France,Deaths,1
2020-02-16,Germany,Cases,15
2020-02-16,Germany,Deaths,NA
2020-02-16,Italy,Cases,3
2020-02-16,Italy,Deaths,NA
2020-02-16,Sweden,Cases,1
2020-02-16,Sweden,Deaths,NA
2020-02-16,United States,Cases,15
2020-02-16,United States,Deaths,NA
2020-02-17,Belgium,Cases,1
2020-02-17,Belgium,Deaths,NA
2020-02-17,France,Cases,12
2020-02-17,France,Deaths,1
2020-02-17,Germany,Cases,15
2020-02-17,Germany,Deaths,NA
2020-02-17,Italy,Cases,3
2020-02-17,Italy,Deaths,NA
2020-02-17,Sweden,Cases,1
2020-02-17,Sweden,Deaths,NA
2020-02-17,United States,Cases,15
2020-02-17,United States,Deaths,NA
2020-02-18,Belgium,Cases,1
2020-02-18,Belgium,Deaths,NA
2020-02-18,France,Cases,12
2020-02-18,France,Deaths,1
2020-02-18,Germany,Cases,15
2020-02-18,Germany,Deaths,NA
2020-02-18,Italy,Cases,3
2020-02-18,Italy,Deaths,NA
2020-02-18,Sweden,Cases,1
2020-02-18,Sweden,Deaths,NA
2020-02-18,United States,Cases,15
2020-02-18,United States,Deaths,NA
2020-02-19,Belgium,Cases,1
2020-02-19,Belgium,Deaths,NA
2020-02-19,France,Cases,12
2020-02-19,France,Deaths,1
2020-02-19,Germany,Cases,15
2020-02-19,Germany,Deaths,NA
2020-02-19,Italy,Cases,3
2020-02-19,Italy,Deaths,NA
2020-02-19,Sweden,Cases,1
2020-02-19,Sweden,Deaths,NA
2020-02-19,United States,Cases,15
2020-02-19,United States,Deaths,NA
2020-02-20,Belgium,Cases,1
2020-02-20,Belgium,Deaths,NA
2020-02-20,France,Cases,12
2020-02-20,France,Deaths,1
2020-02-20,Germany,Cases,15
2020-02-20,Germany,Deaths,NA
2020-02-20,Italy,Cases,3
2020-02-20,Italy,Deaths,NA
2020-02-20,Sweden,Cases,1
2020-02-20,Sweden,Deaths,NA
2020-02-20,United States,Cases,15
2020-02-20,United States,Deaths,NA
2020-02-21,Belgium,Cases,1
2020-02-21,Belgium,Deaths,NA
2020-02-21,France,Cases,12
2020-02-21,France,Deaths,1
2020-02-21,Germany,Cases,15
2020-02-21,Germany,Deaths,NA
2020-02-21,Italy,Cases,3
2020-02-21,Italy,Deaths,NA
2020-02-21,Sweden,Cases,1
2020-02-21,Sweden,Deaths,NA
2020-02-21,United States,Cases,16
2020-02-21,United States,Deaths,NA
2020-02-22,Belgium,Cases,1
2020-02-22,Belgium,Deaths,NA
2020-02-22,France,Cases,12
2020-02-22,France,Deaths,1
2020-02-22,Germany,Cases,15
2020-02-22,Germany,Deaths,NA
2020-02-22,Italy,Cases,17
2020-02-22,Italy,Deaths,NA
2020-02-22,Sweden,Cases,1
2020-02-22,Sweden,Deaths,NA
2020-02-22,United States,Cases,35
2020-02-22,United States,Deaths,NA
2020-02-23,Belgium,Cases,1
2020-02-23,Belgium,Deaths,NA
2020-02-23,France,Cases,12
2020-02-23,France,Deaths,1
2020-02-23,Germany,Cases,15
2020-02-23,Germany,Deaths,NA
2020-02-23,Italy,Cases,79
2020-02-23,Italy,Deaths,2
2020-02-23,Sweden,Cases,1
2020-02-23,Sweden,Deaths,NA
2020-02-23,United States,Cases,35
2020-02-23,United States,Deaths,NA
2020-02-24,Belgium,Cases,1
2020-02-24,Belgium,Deaths,NA
2020-02-24,France,Cases,12
2020-02-24,France,Deaths,1
2020-02-24,Germany,Cases,15
2020-02-24,Germany,Deaths,NA
2020-02-24,Italy,Cases,132
2020-02-24,Italy,Deaths,2
2020-02-24,Sweden,Cases,1
2020-02-24,Sweden,Deaths,NA
2020-02-24,United States,Cases,35
2020-02-24,United States,Deaths,NA
2020-02-25,Belgium,Cases,1
2020-02-25,Belgium,Deaths,NA
2020-02-25,France,Cases,12
2020-02-25,France,Deaths,1
2020-02-25,Germany,Cases,15
2020-02-25,Germany,Deaths,NA
2020-02-25,Italy,Cases,229
2020-02-25,Italy,Deaths,6
2020-02-25,Sweden,Cases,1
2020-02-25,Sweden,Deaths,NA
2020-02-25,United States,Cases,53
2020-02-25,United States,Deaths,NA
2020-02-26,Belgium,Cases,1
2020-02-26,Belgium,Deaths,NA
2020-02-26,France,Cases,14
2020-02-26,France,Deaths,1
2020-02-26,Germany,Cases,17
2020-02-26,Germany,Deaths,NA
2020-02-26,Italy,Cases,322
2020-02-26,Italy,Deaths,11
2020-02-26,Sweden,Cases,1
2020-02-26,Sweden,Deaths,NA
2020-02-26,United States,Cases,53
2020-02-26,United States,Deaths,NA
2020-02-27,Belgium,Cases,1
2020-02-27,Belgium,Deaths,NA
2020-02-27,France,Cases,17
2020-02-27,France,Deaths,2
2020-02-27,Germany,Cases,21
2020-02-27,Germany,Deaths,NA
2020-02-27,Italy,Cases,400
2020-02-27,Italy,Deaths,12
2020-02-27,Sweden,Cases,2
2020-02-27,Sweden,Deaths,NA
2020-02-27,United States,Cases,59
2020-02-27,United States,Deaths,NA
2020-02-28,Belgium,Cases,1
2020-02-28,Belgium,Deaths,NA
2020-02-28,France,Cases,38
2020-02-28,France,Deaths,2
2020-02-28,Germany,Cases,47
2020-02-28,Germany,Deaths,NA
2020-02-28,Italy,Cases,650
2020-02-28,Italy,Deaths,17
2020-02-28,Sweden,Cases,7
2020-02-28,Sweden,Deaths,NA
2020-02-28,United States,Cases,60
2020-02-28,United States,Deaths,NA
2020-02-29,Belgium,Cases,1
2020-02-29,Belgium,Deaths,NA
2020-02-29,France,Cases,57
2020-02-29,France,Deaths,2
2020-02-29,Germany,Cases,57
2020-02-29,Germany,Deaths,NA
2020-02-29,Italy,Cases,888
2020-02-29,Italy,Deaths,21
2020-02-29,Sweden,Cases,12
2020-02-29,Sweden,Deaths,NA
2020-02-29,United States,Cases,66
2020-02-29,United States,Deaths,NA
2020-03-01,Belgium,Cases,1
2020-03-01,Belgium,Deaths,NA
2020-03-01,France,Cases,100
2020-03-01,France,Deaths,2
2020-03-01,Germany,Cases,111
2020-03-01,Germany,Deaths,NA
2020-03-01,Italy,Cases,1128
2020-03-01,Italy,Deaths,29
2020-03-01,Sweden,Cases,13
2020-03-01,Sweden,Deaths,NA
2020-03-01,United States,Cases,69
2020-03-01,United States,Deaths,1
2020-03-02,Belgium,Cases,2
2020-03-02,Belgium,Deaths,NA
2020-03-02,France,Cases,130
2020-03-02,France,Deaths,2
2020-03-02,Germany,Cases,129
2020-03-02,Germany,Deaths,NA
2020-03-02,Italy,Cases,1689
2020-03-02,Italy,Deaths,35
2020-03-02,Sweden,Cases,14
2020-03-02,Sweden,Deaths,NA
2020-03-02,United States,Cases,89
2020-03-02,United States,Deaths,2
2020-03-03,Belgium,Cases,8
2020-03-03,Belgium,Deaths,NA
2020-03-03,France,Cases,178
2020-03-03,France,Deaths,3
2020-03-03,Germany,Cases,157
2020-03-03,Germany,Deaths,NA
2020-03-03,Italy,Cases,2036
2020-03-03,Italy,Deaths,52
2020-03-03,Sweden,Cases,15
2020-03-03,Sweden,Deaths,NA
2020-03-03,United States,Cases,103
2020-03-03,United States,Deaths,6
2020-03-04,Belgium,Cases,13
2020-03-04,Belgium,Deaths,NA
2020-03-04,France,Cases,212
2020-03-04,France,Deaths,4
2020-03-04,Germany,Cases,196
2020-03-04,Germany,Deaths,NA
2020-03-04,Italy,Cases,2502
